,spin,model,strength,polar angle,azimuthal angle
402,0.75,ring,1e-10,0.0,0
403,0.9,ring,1e-10,0.0,0
404,0.99,ring,1e-10,0.0,0
405,0.001,ring,1e-09,0.0,0
406,0.1,ring,1e-09,0.0,0
407,0.2,ring,1e-09,0.0,0
408,0.3,ring,1e-09,0.0,0
409,0.4,ring,1e-09,0.0,0
410,0.5,ring,1e-09,0.0,0
411,0.75,ring,1e-09,0.0,0
412,0.9,ring,1e-09,0.0,0
413,0.99,ring,1e-09,0.0,0
414,0.001,ring,1e-08,0.0,0
415,0.1,ring,1e-08,0.0,0
416,0.2,ring,1e-08,0.0,0
417,0.3,ring,1e-08,0.0,0
418,0.4,ring,1e-08,0.0,0
419,0.5,ring,1e-08,0.0,0
420,0.75,ring,1e-08,0.0,0
421,0.9,ring,1e-08,0.0,0
422,0.99,ring,1e-08,0.0,0
423,0.001,ring,1e-07,0.0,0
424,0.1,ring,1e-07,0.0,0
425,0.2,ring,1e-07,0.0,0
426,0.3,ring,1e-07,0.0,0
427,0.4,ring,1e-07,0.0,0
428,0.5,ring,1e-07,0.0,0
429,0.75,ring,1e-07,0.0,0
430,0.9,ring,1e-07,0.0,0
431,0.99,ring,1e-07,0.0,0
432,0.001,ring,1e-06,0.0,0
433,0.1,ring,1e-06,0.0,0
434,0.2,ring,1e-06,0.0,0
435,0.3,ring,1e-06,0.0,0
436,0.4,ring,1e-06,0.0,0
437,0.5,ring,1e-06,0.0,0
438,0.75,ring,1e-06,0.0,0
439,0.9,ring,1e-06,0.0,0
440,0.99,ring,1e-06,0.0,0
441,0.001,ring,1e-12,0.3141592653589793,0
442,0.1,ring,1e-12,0.3141592653589793,0
443,0.2,ring,1e-12,0.3141592653589793,0
444,0.3,ring,1e-12,0.3141592653589793,0
445,0.4,ring,1e-12,0.3141592653589793,0
446,0.5,ring,1e-12,0.3141592653589793,0
447,0.75,ring,1e-12,0.3141592653589793,0
448,0.9,ring,1e-12,0.3141592653589793,0
449,0.99,ring,1e-12,0.3141592653589793,0
450,0.001,ring,1e-11,0.3141592653589793,0
451,0.1,ring,1e-11,0.3141592653589793,0
452,0.2,ring,1e-11,0.3141592653589793,0
453,0.3,ring,1e-11,0.3141592653589793,0
454,0.4,ring,1e-11,0.3141592653589793,0
455,0.5,ring,1e-11,0.3141592653589793,0
456,0.75,ring,1e-11,0.3141592653589793,0
457,0.9,ring,1e-11,0.3141592653589793,0
458,0.99,ring,1e-11,0.3141592653589793,0
459,0.001,ring,1e-10,0.3141592653589793,0
460,0.1,ring,1e-10,0.3141592653589793,0
461,0.2,ring,1e-10,0.3141592653589793,0
